word,origin,mgtow,trp,incels,health,criticism,mra,pua
patriarchy,prior,1.4531578,0.1382799,0.10607998,-0.639743,1.6158808,2.1362922,-0.7477593
acid,prior,0.17479278,0.2876798,0.13476321,0.19857831,0.2460139,0.18783179,0.025974832
slays,prior,0.1697431,0.44980517,1.033882,-0.02500627,-0.042642742,-0.0753918,0.059270963
oltr,ours,0.07902835,0.7729947,0.04345872,0.09596487,0.2345375,0.02245501,0.4696569
smash,prior,0.78051573,0.9832555,0.86738133,-0.06530131,0.13980061,-0.09670428,0.8952842
stemcel,ours,-0.13931721,-0.19742714,0.6645834,-0.16851614,-0.19805391,-0.17385225,-0.16302942
pussies,prior,0.91343653,1.0198618,0.6794519,-0.7526034,0.9953452,0.1901765,0.04308164
whale,prior,0.85817426,0.23242845,0.6971219,-0.27065524,0.17748898,0.08272579,-0.0012347884
incest,prior,0.29341543,0.11130031,0.28639433,-0.054795448,0.21974704,0.18601613,-0.013727164
baldcel,prior,0.039088756,0.034525912,0.8725337,0.14465737,-0.03940126,-0.039418817,-0.018091712
fwb,prior,0.28494993,1.7993412,0.48023823,-0.30023786,0.15857455,-0.4589775,1.9371411
calculatorcel,ours,0.0063500307,0.035797577,0.56038654,0.049524125,0.18505,0.017236495,0.04831294
buxing,ours,0.021184526,0.03433846,0.3472704,0.011781797,0.2276058,-0.05873864,0.13064048
inceltears,ours,0.42672446,0.03204854,2.383884,0.18357472,1.3765014,0.58350784,-0.006352106
becky,prior,0.16491498,0.2459102,1.1780736,-0.30632922,0.26689014,-0.07642699,0.07317774
thebluepill,ours,0.17061909,0.125597,0.14748552,0.095980555,0.30050576,0.09961796,0.070427865
currywhore,ours,0.001763899,0.024552327,0.4341551,0.027605848,-0.04339091,-0.077734165,0.04062878
soy,prior,1.4368799,0.46686032,1.0274017,-1.2429324,0.7835508,0.11850007,-1.068778
oldcel,ours,-0.08703805,-0.110772856,0.86683136,-0.060303334,-0.10232059,-0.15583621,-0.084746994
cumskins,ours,-0.012224495,0.016982796,0.5048569,0.0066278996,0.11112281,-0.038938705,0.023214107
stacys,prior,-0.008726423,-0.2641943,1.6144807,-0.25514442,0.41888,-0.1862167,-0.07115246
metooed,ours,0.17254582,-0.09664346,0.23541942,-0.44028625,-0.30492288,-0.22230455,-0.33004558
moneymaxxing,ours,-0.04146125,0.11472073,0.772736,-0.035574127,0.035589486,-0.1273462,-0.02235607
hight,prior,-0.017508166,-0.0055816695,0.26162523,-0.037732285,0.048465315,-0.06636819,0.059368264
dumbass,prior,0.6211276,0.57890654,0.7318931,-0.14079082,0.5714632,0.2632619,-0.19029725
albino,prior,0.12360885,0.22201483,0.23951223,0.2077813,0.17254683,0.10171023,0.090649895
whitecels,ours,-0.25384068,-0.18104947,0.8844761,-0.20329009,-0.049715318,-0.20661858,-0.26479152
monkey,prior,1.140487,0.9782069,0.35139886,-0.19338433,0.39224407,-0.10601729,0.5103049
boobs,prior,0.6017896,0.63282144,0.9357541,-0.03194581,0.6302095,0.59898937,0.4532273
monster,prior,0.10650938,-0.4605236,0.07516174,-0.14398688,0.075206876,-0.031507596,-0.8464651
manosphere,prior,0.7307138,1.031147,0.6034232,-0.28111938,2.385264,0.53292716,0.20116866
gynocentric,ours,1.3335156,0.10607485,0.020542707,-0.6217117,0.5713362,0.7110749,-0.6912643
chadcel,ours,-0.14912008,-0.10696931,0.7576999,-0.17837381,-0.023462046,-0.19600089,-0.13140197
iois,ours,-0.22595957,2.0847905,0.3647385,-0.24837086,0.111192085,-0.25380763,2.290991
tbh,prior,1.2696,1.3321116,2.5655098,1.6692216,1.3085036,0.6257298,1.6024902
hamstering,ours,1.2130082,2.211878,0.29026237,-0.1235488,1.0784774,0.24665388,0.873189
cuck,prior,2.1784832,1.5026664,1.8870815,-1.0424067,1.5099087,0.74745864,0.47735265
slaying,prior,0.21501848,0.8090515,0.98014593,-0.346458,0.18224753,-0.28285804,0.58490723
personalitycel,ours,-0.07127778,0.037860937,0.72357064,-0.0050184224,0.108645014,0.014146844,0.05844555
simping,ours,1.4882419,0.21696423,0.013611768,-0.26022568,0.06312604,-0.053284705,0.0272948
mentalcels,ours,-0.3392034,-0.26061496,1.6461554,-0.04057787,0.095688105,-0.38259113,-0.245229
fuckhead,prior,0.013740572,0.052615844,0.1411113,-0.01320038,0.20472957,0.18974492,0.033924002
brainlets,ours,-0.11433391,-0.16258244,1.137677,-0.06513179,0.12432086,-0.17209172,-0.13726895
nofap,prior,0.47066802,1.2423584,0.55531067,-0.25421083,-0.12795144,-0.6619549,0.78227437
deered,ours,-0.03700886,0.49184582,-0.0009476533,0.09738185,0.22119033,0.07878225,0.20015718
attack,prior,0.84311515,0.5974081,0.6947146,1.0947547,1.1076735,1.216025,0.30932942
beast,prior,0.5647958,0.96402514,0.28026813,-0.09273273,-0.037866447,-0.2641805,0.1614982
meeks,prior,-0.06536139,-0.1845133,1.1904445,-0.19071029,0.2699883,-0.11307324,-0.0793594
waifu,ours,0.52844214,-0.15465598,1.3021387,-0.18100232,0.45591718,-0.08017373,-0.1498795
gigacope,ours,0.040763978,0.076367274,1.0972229,0.08130787,0.022380712,0.027599357,0.067009605
hitting,prior,0.86117667,1.6923418,0.7266105,0.2762361,0.500215,0.59535617,1.7197323
lifefuel,prior,-0.22046572,-0.27672026,2.0238254,-0.30868787,-0.19938888,-0.48742282,-0.37723264
gangbangs,prior,0.14547762,0.11553473,0.12801303,0.079740375,0.15856566,0.027018668,0.147693
cumdumpster,prior,0.1661654,0.022438735,0.32149434,-0.14665303,0.16622607,-0.021239102,-0.17530729
framecel,prior,-0.30330902,-0.083195336,1.1017705,-0.2426373,0.06074047,-0.3625793,-0.25922835
jawmogs,ours,0.025029147,0.06834235,0.47511587,0.06200877,0.03401565,0.023423849,0.0769665
entrap,prior,0.24740817,0.1258183,-0.047664605,-0.0139604015,0.08534871,0.24608245,0.108964205
gymcels,ours,-0.16628818,-0.10087379,1.4890049,-0.20176004,-0.122397855,-0.33968884,-0.24162486
megacope,ours,-0.014806961,0.03227448,0.32674178,0.042867802,0.06534002,-0.011678863,0.045096654
skanky,prior,0.16072355,0.13567433,-0.029587062,-0.18375334,0.12733811,-0.011889851,0.015463157
tradthots,ours,0.23495574,-0.14177741,-0.009627714,-0.25596598,-0.0690158,-0.12928425,-0.15997982
raping,prior,0.68404925,-0.059767634,0.36994067,-0.71649146,0.677273,1.7034258,-0.5138269
arabcel,ours,0.0013365727,0.033859678,0.4946421,0.06555435,0.07501772,0.015891766,0.027109265
studycelling,ours,0.084707275,0.08483998,0.4501034,0.124525845,0.14337741,-0.014874488,0.010593604
looksmatches,ours,-0.17861141,-0.21355247,0.94003093,-0.22567438,0.051340654,-0.26084998,-0.012549661
chadpreet,ours,-0.154924,-0.21704736,1.122936,-0.17447928,-0.28513882,-0.19304483,-0.17072041
sap,prior,0.5658327,0.24542728,0.0057694167,0.10261684,0.24970569,0.0012481771,-0.1613399
molestation,prior,0.16255939,0.04041274,-0.0052166097,-0.1600267,0.32856596,0.69187707,-0.09397304
haircel,ours,-0.050334677,0.0010297978,0.40293053,0.041748244,0.0071204538,-0.044738047,0.015605384
whore,prior,2.0142105,1.3039569,1.4501501,-0.8164681,1.2153307,0.6310577,0.36130625
ricecel,prior,-0.10689723,-0.21652922,1.5189183,-0.1801258,-0.19065614,-0.23105848,-0.21856263
bitches,prior,2.1461427,2.011976,1.3865206,-0.48268807,1.3209155,0.9930357,1.3044007
attacking,prior,0.2874415,-0.2310214,0.34080866,-0.30003497,0.6345859,1.0008305,-0.5985226
incelselfies,ours,0.10554824,0.14405032,0.8226327,0.14862844,0.12551227,0.11097674,0.15957516
neckcel,ours,0.0020594904,0.03536109,0.626631,0.03791864,-0.02821405,-0.016934054,0.0127945775
bitchass,prior,0.032542683,0.18981475,0.17654097,0.09342546,0.21394095,0.022293653,0.1993003
skinnycel,ours,-0.06991301,-0.017483924,0.46734756,-0.011218071,-0.009654229,-0.079309866,-0.05840229
muslimcels,ours,-0.0056758635,0.035117034,0.26874116,0.049539868,0.042040624,0.011875134,0.04621019
kunt,prior,0.43369287,0.20532468,0.11818217,0.117877245,0.023305457,0.07011452,0.096362196
balls,prior,1.2263668,1.2307904,0.9442989,0.54460454,0.85299295,0.76813155,1.2678055
thots,prior,2.693398,1.3312621,1.4318546,-0.8755041,0.6552829,0.51378447,0.30234224
lookmatch,ours,0.017283464,-0.01338546,0.57782036,0.011373785,0.08840673,-0.010499902,0.017750772
asshat,prior,0.26918328,0.19078875,0.31463635,0.099751905,0.42535686,0.17276463,0.18843177
yw,prior,0.06815526,0.16325848,0.29756364,0.10883982,0.03647952,0.003900807,0.07932585
mew,prior,0.044547535,0.22911027,0.7794642,0.11084677,0.1137157,0.07613289,0.18438399
dumbfuck,prior,0.102877095,-0.04141047,0.23971461,-0.32566264,0.21359701,-0.14787717,-0.24954872
blackops,ours,0.08557343,0.014459664,0.7466949,0.05124735,-0.0075725224,-0.011195248,0.007088265
cucktears,prior,-0.05534866,-0.11825846,1.265352,-0.075336374,-0.004508999,-0.21614815,-0.14601533
mentalcel,prior,-0.27645278,-0.096662275,2.4059606,-0.1706446,0.24298556,-0.5130092,0.011500759
brazilliansigma,ours,0.11178631,0.15679857,1.0547264,0.17031723,0.15239684,0.12737042,0.16954201
legit,prior,1.0462031,0.90868247,1.6339723,0.5148391,1.1462703,0.6625601,0.96191484
uberchad,ours,-0.021700453,0.05471518,0.5818664,-0.029596977,0.24157737,-0.03924022,0.1497496
chadriguez,ours,-0.02229506,-0.01781968,0.4370259,0.0033320328,-0.031603023,-0.053659707,0.03459156
ed,prior,0.02093102,0.27035397,0.18452974,-0.07771802,0.30893216,-0.011238171,-0.17145567
femcels,ours,0.17750391,-0.08808957,2.0536766,-0.07071115,0.38872266,-0.102598965,0.03135468
frauding,ours,-0.070825696,0.04262557,0.73215824,-0.13169457,-0.057951763,-0.14409041,-0.14696866
roosh,ours,0.0791423,0.7848191,-0.10944612,-0.4307863,1.5901399,-0.15762797,0.4811777
uprising,prior,0.15281135,-0.1404254,0.81563616,-0.18265237,0.47683913,-0.046334676,-0.32048613
bimbo,prior,0.62976676,0.31986278,0.35740197,-0.06383434,0.12774308,0.14626595,0.21941426
frauded,ours,-0.05593907,-0.042808503,0.47458255,-0.019808007,-0.023872757,-0.07864794,0.048969958
lardass,prior,0.0628287,0.057931624,0.111310735,0.043977436,0.050409228,0.02209603,0.07739292
youngcel,ours,-0.23841877,-0.23807773,0.60078543,-0.14129305,-0.18724981,-0.24706832,-0.1311186
cucknada,ours,0.23014233,0.062263917,0.13333759,0.07224429,0.085128285,0.0732327,0.010078855
mog,prior,-0.22974473,-0.19642943,2.3576694,-0.20049822,-0.10206279,-0.56247276,-0.13246275
ogrecel,ours,0.014807634,-0.07847303,0.65608233,0.038196705,-0.04126352,-0.036406115,-0.07780026
thugmaxxed,ours,0.107319675,0.145555,0.6914181,0.14911164,0.1257776,0.11094823,0.15262455
stacylite,prior,-0.11508377,-0.011769746,0.32189086,-0.04575909,-0.0077999393,-0.090794556,-0.026586965
gf,prior,1.6273288,2.0729632,2.3302603,1.4416513,1.4694684,0.60411143,1.9881983
golddigger,prior,0.20764142,0.041247025,0.15086062,-0.17135234,0.52828145,-0.08001706,-0.071976155
betamale,prior,0.078712955,0.1153727,0.25840876,0.059255306,0.22731367,0.122690596,0.10900907
looksmaxxing,ours,-0.12714931,0.104854226,1.3669134,-0.13589284,0.06300141,-0.30818155,0.016254533
thugmax,ours,0.09069388,0.13026264,0.806563,0.12628943,0.08980281,0.09231569,0.13312255
landwhales,prior,0.43224302,-0.348332,0.9369072,-0.6418903,-0.26232153,-0.4348762,-0.66891676
negro,prior,0.08247629,0.032666992,0.4664194,-0.116311446,0.079062976,0.09423652,-0.0324488
prettyboy,prior,-0.094385654,-0.04913433,0.7878075,-0.040459704,0.056708522,-0.08634052,-0.051700234
fatcels,ours,-0.01629101,0.12744209,0.9180872,0.11472123,0.12285756,-0.028594106,-0.11956568
instathot,ours,0.16603807,0.07919536,0.07741211,0.07427745,0.028373282,0.1068336,0.09157723
killed,prior,1.252491,1.0529718,1.1792458,1.4086455,1.3178563,1.455563,0.7511266
whitecel,prior,-0.0699044,-0.1258407,1.1512294,-0.075305596,-0.023101935,-0.07359094,-0.06527093
gymcel,prior,-0.22447753,-0.09526107,1.9571139,-0.29135853,-0.16773045,-0.32511693,-0.22652231
spermjack,ours,0.2854714,0.06931398,0.098510206,-0.0041016056,0.30515483,0.06048722,0.08940536
motherfuckers,prior,0.35057318,0.33804217,0.20877543,-0.3570029,0.35876682,-0.2082197,-0.03524388
mogged,ours,-0.17260005,-0.08918412,2.168625,-0.2679125,-0.26506987,-0.45768476,-0.1915627
whamen,ours,0.81606656,-0.032173194,0.2985137,0.0035435108,0.30988622,0.36864275,0.1438897
slag,prior,0.6055148,0.1986047,0.17642373,-0.059804317,0.093486995,0.12483542,0.11260156
neetcel,ours,0.0040133027,-0.034181055,0.44342992,0.06851241,0.17497146,-0.020291913,0.007992102
nuke,prior,0.49170783,0.39114982,0.37746695,-0.061008234,0.24754602,0.1253331,-0.05658807
himtoo,ours,0.2082073,0.020996403,0.032938026,0.038774688,0.06100434,0.45271185,0.01779636
heightpill,ours,0.064538404,0.008070078,0.3991272,-0.023269597,-0.039330143,-0.054030187,-0.07904567
sloots,ours,0.28641596,0.7156556,0.4108843,-0.010791848,0.34905058,-0.016146043,0.34251803
wisnifg,ours,-0.04212797,0.6991827,-0.039421868,0.0242917,0.29341057,0.0023197308,0.11878525
squintmaxxing,ours,0.1006724,0.16826354,0.5543141,0.17015134,0.14413144,0.12160301,0.1528697
poorcels,ours,-0.11565701,-0.09471485,0.7097247,-0.023831714,-0.15158913,-0.18018317,-0.14869735
pj,prior,0.1649097,0.1397416,0.10484243,0.14788122,0.13911939,0.2470314,0.14771965
nigger,prior,0.05921413,-0.10214081,0.6157622,-0.3178247,0.11670854,-0.09483868,-0.35351115
failure,prior,0.95734316,1.3976555,1.1800625,2.2466867,0.6197956,0.8416627,1.0214577
looksmaxx,prior,-0.20114876,-0.17506567,1.1023953,-0.17678958,-0.36442292,-0.3109256,-0.1743283
ethniccels,ours,-0.18551739,-0.12394646,0.7127107,-0.09805864,0.109160565,-0.12461876,-0.045836896
lowiqcels,ours,-0.085512534,-0.051286843,0.853736,-0.048991986,-0.030802019,-0.113714844,-0.029598258
trufemcel,ours,0.13222452,0.14392334,0.3695381,0.14186448,0.16373245,0.12269823,0.14328581
